Project ID,Sr No.,Item Name,Item Category,Quantity,UOM,Rate ($),Amount ($),Weight (kg),Month,Year,Company Name,City,Country
AG-SEP24,1,CABLE TRAY,Electrical,19.0,No., $14.00 ,271.0,200.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,2,END CLAMP,Electrical,25.0,No., $0.16 ,4.0,250.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,3,MIDDLE CLAMP,Electrical,435.0,No., $0.20 ,85.0,4350.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,4,Activated Carbon,Furnace Material,1.0,Bag, $29.00 ,29.0,25.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,5,Bentonide Powder,Furnace Material,1.0,Ton, $75.00 ,75.0,2000.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,6,Boric Acid ,Furnace Material,3.0,Bag, $47.00 ,141.0,100.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,7,Carbon Rizer,Furnace Material,5.0,Bag, $43.00 ,214.0,125.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,8,Coil Cot Powder,Furnace Material,0.5,Ton, $114.00 ,57.0,1000.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,9,Complete Furnace 200/300 kg,Furnace Material,1.0,NO.," $16,071.00 ",16071.0,10.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,10,Crucible 100 kg,Furnace Material,1.0,No., $607.00 ,607.0,100.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,11,Ferro Manganese ,Furnace Material,200.0,kg, $2.00 ,375.0,200.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,12,Graphite Powder ,Furnace Material,5.0,Bag, $22.00 ,111.0,125.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,13,Linning Powder,Furnace Material,6.0,Ton, $89.00 ,536.0,6000.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,14,Silicon,Furnace Material,200.0,kg, $2.00 ,307.0,200.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,15,Drill Machine,Mechanical,1.0,No., $30.00 ,30.0,2.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
